Filename,Folder,Date,Time,Camera Type,Camera ID,Record Rate(fps),Shutter Speed,Image Width,Image Height,Color Type,File Format,Device Name,IP Address
282.0mA_0050fps_2_20250605_223111_C1S0001.cih,282.0mA_0050fps_2_20250605_223111_C1S0001,2025/6/5,22:30,FASTCAM Mini AX50 type 170K-M-8GB,10,50,1/1000,1024,1024,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
282.0mA_0060fps_2_20250605_222329_C1S0001.cih,282.0mA_0060fps_2_20250605_222329_C1S0001,2025/6/5,22:23,FASTCAM Mini AX50 type 170K-M-8GB,10,60,1/1000,1024,1024,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
282.0mA_0125fps_20250605_224124_C1S0001.cih,282.0mA_0125fps_20250605_224124_C1S0001,2025/6/5,22:41,FASTCAM Mini AX50 type 170K-M-8GB,10,125,1/1000,1024,1024,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
282.0mA_0750fps_20250605_220434_C1S0001.cih,282.0mA_0750fps_20250605_220434_C1S0001,2025/6/5,22:04,FASTCAM Mini AX50 type 170K-M-8GB,10,750,1/1000,1024,1024,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
282.0mA_0750fps_2_20250605_221658_C1S0001.cih,282.0mA_0750fps_2_20250605_221658_C1S0001,2025/6/5,22:16,FASTCAM Mini AX50 type 170K-M-8GB,10,750,1/1000,1024,1024,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
282.0mA_1000fps_20250605_215431_C1S0001.cih,282.0mA_1000fps_20250605_215431_C1S0001,2025/6/5,21:54,FASTCAM Mini AX50 type 170K-M-8GB,10,1000,1/1000,1024,1024,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
282.0mA_2000fps_20250605_212254_C1S0001.cih,282.0mA_2000fps_20250605_212254_C1S0001,2025/6/5,21:22,FASTCAM Mini AX100 type 540K-M-8GB,10,2000,1/2000,1024,1024,Mono,Avi,FASTCAM Mini AX100 type 540K-M-8GB,192.168.0.10
282.0mA_3000fps_20250605_220015_C1S0001.cih,282.0mA_3000fps_20250605_220015_C1S0001,2025/6/5,22:00,FASTCAM Mini AX50 type 170K-M-8GB,10,3000,1/3000,1024,736,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
302.9mA_1000fps_20250606_000309_C1S0001.cih,302.9mA_1000fps_20250606_000309_C1S0001,2025/6/6,00:02,FASTCAM Mini AX50 type 170K-M-8GB,10,1000,1/1000,1024,1024,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
302.9mA_2000fps_20250605_224807_C1S0001.cih,302.9mA_2000fps_20250605_224807_C1S0001,2025/6/5,22:47,FASTCAM Mini AX50 type 170K-M-8GB,10,2000,1/2000,1024,1024,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
302.9mA_2500fps_20250605_225321_C1S0001.cih,302.9mA_2500fps_20250605_225321_C1S0001,2025/6/5,22:53,FASTCAM Mini AX50 type 170K-M-8GB,10,2500,1/2500,1024,896,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
302.9mA_2500fps_2_20250606_001251_C1S0001.cih,302.9mA_2500fps_2_20250606_001251_C1S0001,2025/6/6,00:12,FASTCAM Mini AX50 type 170K-M-8GB,10,2500,1/2500,1024,896,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
302.9mA_3000fps_20250605_230639_C1S0001.cih,302.9mA_3000fps_20250605_230639_C1S0001,2025/6/5,23:06,FASTCAM Mini AX50 type 170K-M-8GB,10,3000,1/3000,1024,736,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
323.8mA_2500fps_20250606_001931_C1S0001.cih,323.8mA_2500fps_20250606_001931_C1S0001,2025/6/6,00:19,FASTCAM Mini AX50 type 170K-M-8GB,10,2500,1/2500,1024,896,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
323.8mA_3000fps_20250606_002426_C1S0001.cih,323.8mA_3000fps_20250606_002426_C1S0001,2025/6/6,00:24,FASTCAM Mini AX50 type 170K-M-8GB,10,3000,1/3000,1024,736,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
323.8mA_3600fps_20250606_002929_C1S0001.cih,323.8mA_3600fps_20250606_002929_C1S0001,2025/6/6,00:29,FASTCAM Mini AX50 type 170K-M-8GB,10,3600,1/3600,1024,608,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
323.8mA_4000fps_20250606_003539_C1S0001.cih,323.8mA_4000fps_20250606_003539_C1S0001,2025/6/6,00:35,FASTCAM Mini AX50 type 170K-M-8GB,10,4000,1/4000,1024,560,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
344.6mA_2500fps_20250606_004031_C1S0001.cih,344.6mA_2500fps_20250606_004031_C1S0001,2025/6/6,00:40,FASTCAM Mini AX50 type 170K-M-8GB,10,2500,1/2500,1024,896,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
344.6mA_3000fps_20250606_004406_C1S0001.cih,344.6mA_3000fps_20250606_004406_C1S0001,2025/6/6,00:43,FASTCAM Mini AX50 type 170K-M-8GB,10,3000,1/3000,1024,736,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
344.6mA_3600fps_20250606_004728_C1S0001.cih,344.6mA_3600fps_20250606_004728_C1S0001,2025/6/6,00:47,FASTCAM Mini AX50 type 170K-M-8GB,10,3600,1/3600,1024,608,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
344.6mA_4000fps_20250606_005043_C1S0001.cih,344.6mA_4000fps_20250606_005043_C1S0001,2025/6/6,00:50,FASTCAM Mini AX50 type 170K-M-8GB,10,4000,1/4000,1024,560,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
365.5mA_3000fps_20250606_005408_C1S0001.cih,365.5mA_3000fps_20250606_005408_C1S0001,2025/6/6,00:53,FASTCAM Mini AX50 type 170K-M-8GB,10,3000,1/3000,1024,736,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
365.5mA_3600fps_20250606_005718_C1S0001.cih,365.5mA_3600fps_20250606_005718_C1S0001,2025/6/6,00:57,FASTCAM Mini AX50 type 170K-M-8GB,10,3600,1/3600,1024,608,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
365.5mA_4000fps_20250606_010051_C1S0001.cih,365.5mA_4000fps_20250606_010051_C1S0001,2025/6/6,01:00,FASTCAM Mini AX50 type 170K-M-8GB,10,4000,1/4000,1024,560,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
365.5mA_4500fps_20250606_010428_C1S0001.cih,365.5mA_4500fps_20250606_010428_C1S0001,2025/6/6,01:04,FASTCAM Mini AX50 type 170K-M-8GB,10,4500,1/4500,1024,496,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
365.5mA_5000fps_20250606_010751_C1S0001.cih,365.5mA_5000fps_20250606_010751_C1S0001,2025/6/6,01:07,FASTCAM Mini AX50 type 170K-M-8GB,10,5000,1/5000,768,544,Mono,Avi,FASTCAM Mini AX50 type 170K-M-8GB,192.168.0.10
